date,sessions,festival,energy.consumption,weekday,nthweek,month,index,Holidays,Cnt to Holidays,Cnt after Holidays,gt,year
2012-09-01,290332,0,987126,6,35,9,1,0,61,17,47,2012
2012-09-02,308658,0,926125,0,35,9,2,0,60,18,42,2012
2012-09-03,328037,0,1119584,1,36,9,3,0,59,19,42,2012
2012-09-04,314522,0,1158225,2,36,9,4,0,58,20,42,2012
2012-09-05,320786,0,1167430,3,36,9,5,0,57,21,42,2012
2012-09-06,305030,0,1167824,4,36,9,6,0,56,22,42,2012
2012-09-07,311737,0,1153169,5,36,9,7,0,55,23,42,2012
2012-09-08,281309,0,1011657,6,36,9,8,0,54,24,42,2012
2012-09-09,292968,0,937600,0,36,9,9,0,53,25,38,2012
2012-09-10,325903,0,1136571,1,37,9,10,0,52,26,38,2012
2012-09-11,322659,0,1174651,2,37,9,11,0,51,27,38,2012
2012-09-12,316442,0,1161611,3,37,9,12,0,50,28,38,2012
2012-09-13,300847,0,1154342,4,37,9,13,0,49,29,38,2012
2012-09-14,299401,0,1142369,5,37,9,14,0,48,30,38,2012
2012-09-15,263837,0,997310,6,37,9,15,0,47,31,38,2012
2012-09-16,279798,0,930336,0,37,9,16,0,46,32,38,2012
2012-09-17,312112,0,1120795,1,38,9,17,0,45,33,38,2012
2012-09-18,303618,0,1158479,2,38,9,18,0,44,34,38,2012
2012-09-19,293823,0,1157801,3,38,9,19,0,43,35,38,2012
2012-09-20,282973,0,1174368,4,38,9,20,0,42,36,38,2012
2012-09-21,305758,0,1176863,5,38,9,21,0,41,37,38,2012
2012-09-22,271661,0,1036911,6,38,9,22,0,40,38,38,2012
2012-09-23,290763,0,964223,0,38,9,23,0,39,39,37,2012
2012-09-24,318535,0,1149673,1,39,9,24,0,38,40,37,2012
2012-09-25,293125,0,1194709,2,39,9,25,0,37,41,37,2012
2012-09-26,297136,0,1213261,3,39,9,26,0,36,42,37,2012
2012-09-27,281174,0,1208991,4,39,9,27,0,35,43,37,2012
2012-09-28,289089,0,1183945,5,39,9,28,0,34,44,37,2012
2012-09-29,283475,0,1053716,6,39,9,29,0,33,45,37,2012
2012-09-30,302759,0,995174,0,39,9,30,0,32,46,33,2012
2012-10-01,294915,0,1190566,1,40,10,31,0,31,47,33,2012
2012-10-02,287203,0,1214138,2,40,10,32,0,30,48,33,2012
