"Date","visits_gain","Chaine","Ecran","Version","Heure","GRP","BudgetNet","Format","Isole","TAv","EmAv","TAp","EmAp","weekday","nthweek","month"
2014-01-19,-1,2,741,3,7,0,6,30,1,46,355,46,387,0,2,1
2014-01-19,13,2,751,3,7,0,6,30,1,46,355,48,50,0,2,1
2014-01-19,32,4,951,15,9,0.06,26,20,1,17,609,16,648,0,2,1
2014-01-19,26,4,1011,15,10,0.06,27.6,20,1,17,268,16,286,0,2,1
2014-01-19,-2,4,1141,15,10,0.05,18,30,1,17,268,16,286,0,2,1
2014-01-19,110,5,1131,9,11,0.22,92.34,20,1,35,276,34,296,0,2,1
2014-01-19,-6,4,1301,15,12,0.04,21,20,1,17,268,16,286,0,2,1
2014-01-19,8,4,1321,15,12,0.05,21,20,1,17,268,16,741,0,2,1
2014-01-19,1791,1,1340,3,13,2.72,2700,30,0,38,536,38,573,0,2,1
2014-01-19,-1828,4,1451,15,13,0.04,22.6,20,0,17,704,16,741,0,2,1
2014-01-19,56,2,1411,9,13,0.27,106.92,20,1,38,668,38,702,0,2,1
2014-01-19,21,4,1531,15,14,0.03,27.6,20,1,17,704,16,741,0,2,1
2014-01-19,58,2,1511,4,14,0.25,149.04,20,1,38,668,38,702,0,2,1
2014-01-19,74,4,1551,15,15,0.03,29.2,20,0,17,704,16,741,0,2,1
2014-01-19,62,2,1521,9,15,0.24,150.66,20,0,38,668,38,702,0,2,1
2014-01-19,2174,1,1550,3,15,4.41,2700,30,1,40,669,40,703,0,2,1
2014-01-19,-46,4,1841,15,15,0.09,79.4,20,1,17,659,16,697,0,2,1
2014-01-19,2105,1,1730,9,17,2.28,1603.8,20,0,46,180,31,29,0,2,1
2014-01-19,-1352,2,1711,4,17,0.24,61.56,20,0,38,668,38,702,0,2,1
2014-01-19,910,1,1810,4,17,4.14,2478.6,20,1,33,24,32,37,0,2,1
2014-01-19,177,4,1921,15,18,0.09,120,30,0,17,659,16,697,0,2,1
2014-01-19,177,5,1801,3,18,0.12,108,30,0,11,347,11,380,0,2,1
2014-01-19,3896,1,1830,3,18,5.97,3780,30,1,33,33,32,42,0,2,1
2014-01-19,-158,4,1951,15,18,0.13,132,30,1,17,659,16,697,0,2,1
2014-01-19,72,2,1851,9,19,0.3,108.54,20,1,38,668,38,702,0,2,1
2014-01-19,2944,1,1930,9,19,5.86,3061.8,20,1,33,18,32,31,0,2,1
2014-01-19,-389,2,1941,4,19,0.25,144.18,20,0,38,668,18,423,0,2,1
2014-01-19,-73,4,2031,15,19,0.14,144,30,0,17,659,16,697,0,2,1
2014-01-19,180,2,2021,3,20,0.24,208,30,1,19,386,18,426,0,2,1
2014-01-19,45,4,2051,15,20,0.1,122,30,1,17,659,16,292,0,2,1
2014-01-19,211,5,2051,3,20,0.31,170,30,1,36,536,16,218,0,2,1
2014-01-19,12,4,2121,15,20,0.05,98,30,1,17,273,16,292,0,2,1
2014-01-19,674,1,2050,4,20,3.65,3936.6,20,1,50,703,44,809,0,2,1
2014-01-19,639,5,2141,3,21,0.39,232,30,0,17,207,16,218,0,2,1
2014-01-19,-572,4,1001,15,21,0.06,27.6,20,0,17,609,16,286,0,2,1
2014-01-19,807,5,2151,3,21,0.38,242,30,1,17,207,16,218,0,2,1
2014-01-19,3320,1,2160,9,22,5.12,4957.2,20,1,33,789,32,812,0,2,1
2014-01-20,2,2,721,9,7,0.01,4.86,20,1,46,735,46,759,1,3,1
2014-01-20,-2,5,721,4,7,0.02,11.34,20,1,2,748,50,751,1,3,1
2014-01-20,7,2,751,4,7,0.01,4.86,20,1,45,406,48,50,1,3,1
2014-01-20,-4,4,851,15,9,0.03,9.8,20,1,17,268,16,286,1,3,1
2014-01-20,12,4,951,15,9,0.04,26,20,1,17,609,16,648,1,3,1
2014-01-20,-4,4,1001,15,9,0.05,27.6,20,1,17,609,16,648,1,3,1
2014-01-20,759,1,1015,3,10,0.23,216,30,1,26,477,25,514,1,3,1
2014-01-20,-22,4,1041,15,10,0.07,16.2,20,1,17,609,16,286,1,3,1
2014-01-20,35,4,1011,15,11,0.05,27.6,20,1,17,609,16,648,1,3,1
2014-01-20,1403,1,1120,3,11,0.55,468,30,1,19,212,18,222,1,3,1
2014-01-20,8,4,1211,15,12,0.07,16.2,20,1,17,268,16,286,1,3,1
2014-01-20,1596,1,1230,3,12,1.23,1080,30,1,19,224,18,234,1,3,1
2014-01-20,-6,4,1251,15,12,0.1,24,30,1,17,268,41,769,1,3,1
2014-01-20,153,5,1301,9,13,0.08,244.62,20,1,17,196,16,203,1,3,1
2014-01-20,1754,4,1341,15,13,0.05,24,30,0,41,746,16,697,1,3,1
2014-01-20,1903,1,1305,3,13,3.29,1620,30,0,19,682,18,715,1,3,1
2014-01-20,81,5,1321,3,13,0.08,290,30,1,17,196,16,203,1,3,1
2014-01-20,14,4,1401,15,13,0.03,30.8,20,1,17,659,16,697,1,3,1
2014-01-20,14,2,1411,9,14,0.36,85.86,20,1,18,69,17,79,1,3,1
2014-01-20,415,1,1410,4,14,6.05,1312.2,20,1,15,236,15,245,1,3,1
2014-01-20,-55,4,1451,15,14,0.04,45.4,20,1,17,659,16,697,1,3,1
2014-01-20,668,1,1440,9,14,6.45,1312.2,20,0,15,236,15,245,1,3,1
2014-01-20,-1407,5,1421,4,14,0.13,103.68,20,0,11,15,11,27,1,3,1
2014-01-20,-84,2,1421,4,15,0.34,74.52,20,0,18,71,17,81,1,3,1
2014-01-20,-1,4,1521,15,15,0.13,56.8,20,0,17,659,16,697,1,3,1
2014-01-20,-30,4,1601,15,15,0.15,51.8,20,1,17,659,16,648,1,3,1
2014-01-20,-24,4,1611,15,15,0.15,51.8,20,1,17,609,16,648,1,3,1
2014-01-20,-3,4,1701,15,16,0.11,58,30,1,17,609,16,648,1,3,1
2014-01-20,3668,1,1640,3,17,2.98,1224,30,1,26,477,25,514,1,3,1
2014-01-20,4153,4,1741,15,17,0.09,60,20,0,17,609,16,648,1,3,1
2014-01-20,2486,1,1710,3,17,3.73,1350,30,0,26,477,25,514,1,3,1
2014-01-20,2486,2,1821,9,17,0.2,90.72,20,0,20,141,19,158,1,3,1
2014-01-20,-362,5,1801,3,17,0.01,150,30,1,17,196,16,203,1,3,1
2014-01-20,-101,4,1821,15,17,0.12,92,30,1,17,609,16,282,1,3,1
