"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month","TAv_TAp","TAv","DAYPART","weekday_weekend"
2014-01-19,14,9,"ParisPremiere",7,0,6,30,"0","02","01",1,"EBL","NIGHT","WE"
2014-01-19,8,16,"ParisPremiere",7,0,6,30,"0","02","01",0,"EBL","DAY","WE"
2014-01-19,20,43,"SerieClub",9,0.06,26,20,"0","02","01",1,"AC","DAY","WE"
2014-01-19,26,60,"SerieClub",10,0.06,27.6,20,"0","02","01",1,"AC","DAY","WE"
2014-01-19,62,54,"SerieClub",10,0.05,18,30,"0","02","01",1,"AC","DAY","WE"
2014-01-19,44,158,"Teva",11,0.22,92.34,20,"0","02","01",1,"E","DAY","WE"
2014-01-19,36,36,"SerieClub",12,0.04,21,20,"0","02","01",1,"AC","DAY","WE"
2014-01-19,30,44,"SerieClub",12,0.05,21,20,"0","02","01",1,"AC","DAY","WE"
2014-01-19,404,155,"SerieClub",13,0.04,22.6,20,"0","02","01",1,"AC","DAY","WE"
2014-01-19,70,114,"ParisPremiere",13,0.27,106.92,20,"0","02","01",1,"EAJ","DAY","WE"
2014-01-19,64,68,"SerieClub",14,0.03,27.6,20,"0","02","01",1,"AC","DAY","WE"
2014-01-19,70,121,"ParisPremiere",14,0.25,149.04,20,"0","02","01",1,"EAJ","DAY","WE"
2014-01-19,1326,2863,"M6",15,4.41,2700,30,"0","02","01",1,"EAL","DAY","WE"
2014-01-19,158,123,"SerieClub",15,0.09,79.4,20,"0","02","01",1,"AC","DAY","WE"
2014-01-19,2004,1916,"M6",17,4.14,2478.6,20,"0","02","01",1,"DDB","DAY","WE"
2014-01-19,266,4189,"M6",18,5.97,3780,30,"0","02","01",1,"DDB","DAY","WE"
2014-01-19,290,230,"SerieClub",18,0.13,132,30,"0","02","01",1,"AC","ACCESS","WE"
2014-01-19,154,234,"ParisPremiere",19,0.3,108.54,20,"0","02","01",1,"EAJ","ACCESS","WE"
