Day,tripadvisor
2014-03-01,80
2014-03-02,78
2014-03-03,74
2014-03-04,66
2014-03-05,67
2014-03-06,70
2014-03-07,65
2014-03-08,78
2014-03-09,81
2014-03-10,70
2014-03-11,72
2014-03-12,71
2014-03-13,71
2014-03-14,68
2014-03-15,76
2014-03-16,81
2014-03-17,71
2014-03-18,70
2014-03-19,62
2014-03-20,70
2014-03-21,62
2014-03-22,77
2014-03-23,66
2014-03-24,60
2014-03-25,65
2014-03-26,63
2014-03-27,63
2014-03-28,64
2014-03-29,77
2014-03-30,66
2014-03-31,67
2014-04-01,64
2014-04-02,62
2014-04-03,64
2014-04-04,71
2014-04-05,82
2014-04-06,86
2014-04-07,69
2014-04-08,70
2014-04-09,71
2014-04-10,66
2014-04-11,67
2014-04-12,79
2014-04-13,77
2014-04-14,78
2014-04-15,78
2014-04-16,73
2014-04-17,75
2014-04-18,75
2014-04-19,89
2014-04-20,84
2014-04-21,91
2014-04-22,73
2014-04-23,71
2014-04-24,77
2014-04-25,65
2014-04-26,89
2014-04-27,96
2014-04-28,69
2014-04-29,65
2014-04-30,68
