"hour","date","Visite.gain","TypeWeekDay","length","channel","DAYPART","MMDAYPART","ChaineEcranWD","ChaineDaypartWD","ChaineMMDaypartWD","crea","budgetbrut","budgetnet","grp","grpref","tav","tavtap","EmavShort","month","dayofweek","consumption","nthweek","festival","gta","visitByhour"
10,"2014-04-23",64,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1296,233.28,0.05,0.17,"CBB","CBB","LES REINES",4,4,57551,"16",0,"71","0.0484286373"
10,"2014-04-20",215,"WE",20,"M6","DAY","DAY1011","M61040WE","M6DAYWE","M6DAY1011WE","effet sculptant",972,174.96,0.2,0.45,"ACB","ACB","MALCOLM:AL",4,1,47831,"15",0,"84","0.0484286373"
10,"2014-04-02",88,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",1134,204.12,0.53,0.23,"ACC","ACC","LA PETITE ",4,4,58888,"13",0,"62","0.0484286373"
10,"2014-03-11",53,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",648,116.64,0.23,0.2,"ACC","ACC","LA PETITE ",3,3,63769,"10",0,"72","0.0484286373"
10,"2014-03-09",22,"WE",12,"M6","DAY","DAY1011","M61105WE","M6DAYWE","M6DAY1011WE","la chaussure pour toutes les morpho'",1083,194.94,0.51,0.46,"CC","CC","A MOURIR D",3,1,50722,"09",0,"81","0.0484286373"
10,"2014-04-14",129,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1782,320.76,0.01,0.17,"CBB","CBB","LES REINES",4,2,57009,"15",0,"78","0.0484286373"
10,"2014-04-17",30,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",1782,320.76,0,0.12,"CBB","CBB","LES REINES",4,5,58545,"15",0,"75","0.0484286373"
10,"2014-04-18",133,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1782,320.76,0.54,0.16,"CBB","CBB","LES REINES",4,6,57529,"15",2,"75","0.0484286373"
10,"2014-04-18",88,"WD",20,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1100WD","PuissanceTNTDAYWD","PuissanceTNTDAY1011WD","effet sculptant",1150.2,207.036,0.17,0.2,"J","J","METEO W9+U",4,6,57566,"15",2,"75","0.0484286373"
10,"2014-03-18",83,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",648,116.64,0.01,0.15,"ACC","ACC","LA PETITE ",3,3,63280,"11",0,"70","0.0484286373"
10,"2014-04-24",104,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1296,233.28,0.19,0.12,"CBB","CBB","LES REINES",4,5,57046,"16",0,"77","0.0484286373"
10,"2014-04-29",117,"WD",12,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la lingerie pour toutes les morpho",912,164.16,0,0.11,"CBB","CBB","LES REINES",4,3,59037,"17",0,"65","0.0484286373"
10,"2014-04-13",104,"WE",20,"M6","DAY","DAY1011","M61105WE","M6DAYWE","M6DAY1011WE","effet sculptant",1377,247.86,0.52,0.36,"CC","CC","A MOURIR D",4,1,45450,"14",0,"77","0.0484286373"
10,"2014-04-10",55,"WD",20,"M6","DAY","DAY1011","M60950WD","M6DAYWD","M6DAY1011WD","effet sculptant",567,102.06,0.15,0.09,"EBD","SPLIT","PLUS VITE ",4,5,58380,"14",0,"66","0.0484286373"
10,"2014-03-13",62,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",648,116.64,0,0.16,"ACC","ACC","LA PETITE ",3,5,63607,"10",0,"71","0.0484286373"
10,"2014-04-26",52,"WE",12,"M6","DAY","DAY1011","M61040WE","M6DAYWE","M6DAY1011WE","la chaussure pour toutes les morpho'",342,61.56,0,0.14,"EBD","SPLIT","PLUS VITE ",4,7,49836,"16",0,"89","0.0484286373"
10,"2014-03-17",95,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",648,116.64,0.09,0.19,"ACC","ACC","LA PETITE ",3,2,61026,"11",0,"71","0.0484286373"
10,"2014-04-16",168,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",1782,320.76,0.31,0.21,"CBB","CBB","LES REINES",4,4,59246,"15",0,"73","0.0484286373"
10,"2014-03-17",48,"WD",20,"M6","DAY","DAY1011","M60950WD","M6DAYWD","M6DAY1011WD","effet sculptant",486,87.48,0.09,0.15,"EBD","SPLIT","PLUS VITE ",3,2,61026,"11",0,"71","0.0484286373"
10,"2014-03-19",80,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",648,116.64,0.01,0.23,"ACC","ACC","LA PETITE ",3,4,62740,"11",0,"62","0.0484286373"
10,"2014-03-21",52,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",648,116.64,0.01,0.18,"ACC","ACC","LA PETITE ",3,6,61067,"11",0,"62","0.0484286373"
10,"2014-03-14",36,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet sculptant",648,116.64,0,0.16,"ACC","ACC","LA PETITE ",3,6,62768,"10",0,"68","0.0484286373"
10,"2014-04-15",110,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1782,320.76,0,0.1,"CBB","CBB","LES REINES",4,3,58340,"15",0,"78","0.0484286373"
10,"2014-03-20",34,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",648,116.64,0.01,0.14,"ACC","ACC","LA PETITE ",3,5,60358,"11",0,"70","0.0484286373"
10,"2014-04-25",128,"WD",20,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1100WD","PuissanceTNTDAYWD","PuissanceTNTDAY1011WD","la terrasse",1053,189.54,0.12,0.15,"J","J","METEO W9+U",4,6,57531,"16",0,"65","0.0484286373"
10,"2014-04-22",73,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1296,233.28,0.04,0.12,"CBB","CBB","LES REINES",4,3,58271,"16",0,"73","0.0484286373"
10,"2014-04-30",142,"WD",12,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la chaussure pour toutes les morpho'",912,164.16,0.13,0.2,"CBB","CBB","LES REINES",4,4,58524,"17",0,"68","0.0484286373"
10,"2014-04-19",77,"WE",12,"M6","DAY","DAY1011","M61105WE","M6DAYWE","M6DAY1011WE","la lingerie pour toutes les morpho",912,164.16,0.01,0.1,"ACB","ACB","NEW GIRL:T",4,7,51343,"15",0,"89","0.0484286373"
10,"2014-03-25",6,"WD",12,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","effet push-up",456,82.08,0.18,0.12,"ACC","ACC","LA PETITE ",3,3,66675,"12",0,"65","0.0484286373"
10,"2014-03-15",70,"WE",20,"M6","DAY","DAY1011","M61040WE","M6DAYWE","M6DAY1011WE","effet sculptant",648,116.64,0.13,0.12,"EBL","SPLIT","LA MINUTE ",3,7,55163,"10",0,"76","0.0484286373"
10,"2014-04-21",227,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1458,262.44,0.17,0.37,"CBB","CBB","LES REINES",4,2,48254,"16",1,"91","0.0484286373"
10,"2014-04-28",130,"WD",12,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la chaussure pour toutes les morpho'",912,164.16,0.11,0.26,"CBB","CBB","LES REINES",4,2,58435,"17",0,"69","0.0484286373"
10,"2014-04-11",46,"WD",20,"M6","DAY","DAY1011","M61015WD","M6DAYWD","M6DAY1011WD","la terrasse",1134,204.12,0.4,0.13,"ACC","ACC","LA PETITE ",4,6,57472,"14",0,"67","0.0484286373"
11,"2014-04-26",60,"WE",12,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1130WE","PuissanceTNTDAYWE","PuissanceTNTDAY1011WE","la lingerie pour toutes les morpho",1031.7,185.706,0.06,0.32,"J","J","GENERATION",4,7,50092,"16",0,"89","0.0502842677"
11,"2014-03-22",240,"WE",12,"M6","DAY","DAY1011","M61105WE","M6DAYWE","M6DAY1011WE","effet push-up",1482,266.76,0.31,0.38,"CBB","CBB","LES REINES",3,7,56358,"11",0,"77","0.0502842677"
11,"2014-04-09",65,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",2835,510.3,0.79,0.33,"ACC","SPLIT","LA PETITE ",4,4,59574,"14",0,"71","0.0502842677"
11,"2014-04-15",164,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","la terrasse",2430,437.4,0.63,0.41,"ACC","ACC","LA PETITE ",4,3,58780,"15",0,"78","0.0502842677"
11,"2014-04-07",65,"WD",12,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","la chaussure pour toutes les morpho'",1482,266.76,0.49,0.41,"ACC","ACC","LA PETITE ",4,2,55916,"14",0,"69","0.0502842677"
11,"2014-04-15",72,"WD",20,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","effet sculptant",2106,379.08,0.25,0.37,"ACC","ACC","LA PETITE ",4,3,58298,"15",0,"78","0.0502842677"
11,"2014-03-14",135,"WD",20,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","la terrasse",2592,466.56,0.46,0.28,"ACC","ACC","LA PETITE ",3,6,61488,"10",0,"68","0.0502842677"
11,"2014-03-15",308,"WE",12,"M6","DAY","DAY1011","M61105WE","M6DAYWE","M6DAY1011WE","la chaussure pour toutes les morpho'",1425,256.5,0.58,0.36,"CBB","CBB","LES REINES",3,7,55216,"10",0,"76","0.0502842677"
11,"2014-04-19",114,"WE",12,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1200WE","PuissanceTNTDAYWE","PuissanceTNTDAY1011WE","la lingerie pour toutes les morpho",1083,194.94,0.16,0.33,"J","J","GENERATION",4,7,51803,"15",0,"89","0.0502842677"
11,"2014-03-10",117,"WD",20,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","effet sculptant",2592,466.56,0.5,0.4,"ACC","ACC","LA PETITE ",3,2,61074,"10",0,"70","0.0502842677"
11,"2014-04-05",408,"WE",12,"M6","DAY","DAY1011","M61150WE","M6DAYWE","M6DAY1011WE","la chaussure pour toutes les morpho'",1710,307.8,0.4,0.45,"CBB","CBB","LES REINES",4,7,52089,"13",0,"82","0.0502842677"
11,"2014-04-29",107,"WD",12,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1130WD","PuissanceTNTDAYWD","PuissanceTNTDAY1011WD","la lingerie pour toutes les morpho",803.7,144.666,0.01,0.1,"J","J","A VOS CLIP",4,3,59163,"17",0,"65","0.0502842677"
11,"2014-04-14",134,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",2430,437.4,0.36,0.47,"ACC","ACC","LA PETITE ",4,2,57274,"15",0,"78","0.0502842677"
11,"2014-04-11",60,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",2835,510.3,0.73,0.36,"ACC","SPLIT","LA PETITE ",4,6,57263,"14",0,"67","0.0502842677"
11,"2014-03-28",30,"WD",12,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet push-up",2166,389.88,0.43,0.36,"ACC","SPLIT","LA PETITE ",3,6,64281,"12",0,"64","0.0502842677"
11,"2014-04-23",94,"WD",20,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1130WD","PuissanceTNTDAYWD","PuissanceTNTDAY1011WD","effet sculptant",1142.1,205.578,0,0.16,"J","J","METEO W9+U",4,4,57559,"16",0,"71","0.0502842677"
11,"2014-04-27",98,"WE",12,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1130WE","PuissanceTNTDAYWE","PuissanceTNTDAY1011WE","la lingerie pour toutes les morpho",1943.7,349.866,0.37,0.35,"J","J","GENERATION",4,1,47991,"16",0,"96","0.0502842677"
11,"2014-04-19",127,"WE",20,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1130WE","PuissanceTNTDAYWE","PuissanceTNTDAY1011WE","effet sculptant",1466.1,263.898,0.15,0.18,"J","J","GENERATION",4,7,51338,"15",0,"89","0.0502842677"
11,"2014-04-08",88,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",2835,510.3,1.36,0.42,"ACC","SPLIT","LA PETITE ",4,3,58828,"14",0,"70","0.0502842677"
11,"2014-04-07",43,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",2835,510.3,0.88,0.39,"ACC","SPLIT","LA PETITE ",4,2,56379,"14",0,"69","0.0502842677"
11,"2014-04-30",92,"WD",20,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1130WD","PuissanceTNTDAYWD","PuissanceTNTDAY1011WD","effet sculptant",1142.1,205.578,0.33,0.24,"J","J","METEO W9+U",4,4,58478,"17",0,"68","0.0502842677"
11,"2014-04-30",73,"WD",12,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1150WD","PuissanceTNTDAYWD","PuissanceTNTDAY1011WD","la chaussure pour toutes les morpho'",769.5,138.51,0.58,0.19,"J","J","E-CLASSEME",4,4,58582,"17",0,"68","0.0502842677"
11,"2014-04-08",116,"WD",20,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","effet sculptant",2106,379.08,1.01,0.54,"ACC","ACC","LA PETITE ",4,3,58828,"14",0,"70","0.0502842677"
11,"2014-04-01",81,"WD",20,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","effet sculptant",2106,379.08,0.86,0.47,"ACC","ACC","LA PETITE ",4,3,58699,"13",0,"64","0.0502842677"
11,"2014-03-27",101,"WD",12,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","la chaussure pour toutes les morpho'",1824,328.32,0.44,0.36,"ACC","ACC","LA PETITE ",3,5,65766,"12",0,"63","0.0502842677"
11,"2014-03-26",130,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",3078,554.04,0.71,0.37,"ACC","SPLIT","LA PETITE ",3,4,65887,"12",0,"63","0.0502842677"
11,"2014-03-13",107,"WD",12,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","la chaussure pour toutes les morpho'",1824,328.32,0.33,0.25,"ACC","ACC","LA PETITE ",3,5,62337,"10",0,"71","0.0502842677"
11,"2014-03-27",85,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",3078,554.04,0.44,0.27,"ACC","SPLIT","LA PETITE ",3,5,65679,"12",0,"63","0.0502842677"
11,"2014-04-25",98,"WD",12,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","la lingerie pour toutes les morpho",1254,225.72,0.73,0.46,"ACC","ACC","LA PETITE ",4,6,58235,"16",0,"65","0.0502842677"
11,"2014-03-28",72,"WD",12,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","la chaussure pour toutes les morpho'",1824,328.32,0.24,0.31,"ACC","ACC","LA PETITE ",3,6,64643,"12",0,"64","0.0502842677"
11,"2014-04-20",63,"WE",12,"PuissanceTNT","DAY","DAY1011","PuissanceTNT1130WE","PuissanceTNTDAYWE","PuissanceTNTDAY1011WE","la chaussure pour toutes les morpho'",1943.7,349.866,1.16,0.62,"J","J","GENERATION",4,1,48645,"15",0,"84","0.0502842677"
11,"2014-04-16",163,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","la terrasse",2430,437.4,0.5,0.44,"ACC","ACC","LA PETITE ",4,4,59066,"15",0,"73","0.0502842677"
11,"2014-04-10",81,"WD",12,"M6","DAY","DAY1011","M61120WD","M6DAYWD","M6DAY1011WD","la chaussure pour toutes les morpho'",1482,266.76,0.97,0.3,"ACC","ACC","LA PETITE ",4,5,58014,"14",0,"66","0.0502842677"
11,"2014-03-25",104,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",3078,554.04,0.35,0.33,"ACC","SPLIT","LA PETITE ",3,3,67242,"12",0,"65","0.0502842677"
11,"2014-04-10",66,"WD",20,"M6","DAY","DAY1011","M61205WD","M6DAYWD","M6DAY1011WD","effet sculptant",2835,510.3,1,0.31,"ACC","SPLIT","LA PETITE ",4,5,58036,"14",0,"66","0.0502842677"
