date,datetime,Visites_by_hour
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,7
01/03/2014,01/03/2014 00,3
01/03/2014,01/03/2014 00,6
01/03/2014,01/03/2014 00,3
01/03/2014,01/03/2014 00,8
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,7
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,9
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,3
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,3
01/03/2014,01/03/2014 00,7
01/03/2014,01/03/2014 00,6
01/03/2014,01/03/2014 00,10
01/03/2014,01/03/2014 00,7
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,6
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,10
01/03/2014,01/03/2014 00,8
01/03/2014,01/03/2014 00,6
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,1
01/03/2014,01/03/2014 00,8
01/03/2014,01/03/2014 00,5
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,6
01/03/2014,01/03/2014 00,1
01/03/2014,01/03/2014 00,6
01/03/2014,01/03/2014 00,7
01/03/2014,01/03/2014 00,3
01/03/2014,01/03/2014 00,7
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,5
01/03/2014,01/03/2014 00,3
01/03/2014,01/03/2014 00,5
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,8
01/03/2014,01/03/2014 00,5
01/03/2014,01/03/2014 00,1
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,2
01/03/2014,01/03/2014 00,1
01/03/2014,01/03/2014 00,6
01/03/2014,01/03/2014 00,3
01/03/2014,01/03/2014 00,4
01/03/2014,01/03/2014 01,4
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,1
01/03/2014,01/03/2014 01,6
01/03/2014,01/03/2014 01,1
01/03/2014,01/03/2014 01,1
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,1
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,1
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,4
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,4
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,0
01/03/2014,01/03/2014 01,1
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,2
01/03/2014,01/03/2014 01,3
01/03/2014,01/03/2014 01,1
01/03/2014,01/03/2014 01,4
01/03/2014,01/03/2014 01,0
