Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
19/01/2014,61655,59217,58806,58125,57471,55174,53771,52437,51680,51211,51452,51798,52542,52953,53794,54545,55442,56453,58254,59614,60915,61509,62295,62818,63795,64131,62036,60166,59266,57654,56776,56024,56068,56284,57996,61374,64292,66150,66550,66156,64816,63677,62177,60881,61354,64235,63312,63397
20/01/2014,61985,59557,59522,59174,59040,57246,56192,55187,55378,55969,58369,60577,64759,68630,72357,74602,75184,75044,75433,75604,75495,75414,75823,75848,75356,75733,74490,74036,73689,72184,71195,70751,70556,70815,72135,75206,77673,79395,78355,76401,73959,71825,69332,67642,68023,70650,69583,69683
21/01/2014,67791,65124,64919,64369,64210,62483,61334,60446,60587,61025,63188,65330,69683,73250,76636,78491,78705,78250,78364,78194,78164,77869,78126,78286,77284,77566,76326,75701,75239,73608,72862,72454,72322,72549,73941,77094,79702,81222,80169,78027,75654,73405,71158,69424,69719,72284,71113,70897
22/01/2014,69057,66442,66328,65984,65699,63912,62601,61627,61811,62169,64277,66218,69829,73119,76479,78240,79001,79324,79547,79527,79222,79148,79678,79464,78583,78454,77131,76579,76181,74448,73362,72938,72798,72844,74041,77133,79887,81646,80535,78312,75805,73536,71413,69423,69638,71849,70600,70619
23/01/2014,68780,66149,66063,65803,65410,63439,62114,61029,60998,61151,63021,64939,69025,72943,76507,78699,78330,78120,77875,77881,77512,77284,77621,77518,76596,76655,75445,75120,74804,73439,72812,72667,72324,72596,73675,76664,78956,80594,79392,77167,74778,72397,69982,68131,68423,70690,69672,69544
24/01/2014,67817,65080,64570,64178,63651,61802,60752,59719,59597,59808,61760,63536,67633,71332,74858,76662,76866,76669,77014,76847,77002,76729,76966,77073,76214,76454,75044,74278,73998,72366,71558,70710,70340,70568,71863,75007,76995,78262,77047,75192,72897,70949,68956,67432,68150,70731,69805,69331
25/01/2014,67409,64551,64119,63183,62893,60837,59454,58284,57878,57565,58403,58830,60191,60966,62629,63682,64988,66250,67649,68376,68492,68411,68443,68952,69129,69468,67641,65932,65143,63164,62210,61421,61114,61224,62456,65641,68371,69731,69332,67941,66054,64414,63015,62013,62860,65958,65354,65469
26/01/2014,63790,61258,60855,60099,59649,57384,55932,54522,53808,53317,53633,53743,54423,54778,55531,56098,56562,57960,59413,60693,61735,62590,63441,64066,65126,65838,63795,62079,61313,59845,58978,58542,58362,58539,59948,62725,65364,67015,67424,66809,65404,64114,62538,61308,61759,64364,63520,63677
27/01/2014,62313,59883,59976,59612,59381,57645,56806,55812,56141,56696,59127,61454,65867,69570,73375,75582,75678,75736,75966,75972,75822,75658,75999,76398,75921,76125,75025,74620,74310,72652,71728,71309,71074,71202,72267,75328,78760,81017,80016,77881,75530,73204,70785,69091,69738,72025,70925,70995
28/01/2014,69319,66633,66330,65903,65576,63779,62734,61690,61691,62189,64261,66339,70138,74211,77869,79593,79295,79195,79232,79156,78767,78644,78806,78917,77906,78134,76952,76495,76070,74708,74049,73418,73235,73480,74906,77647,80489,82139,80710,78902,76282,74037,71688,69824,69908,72118,71137,70908
