"date","Visite.gain","TypeWeekDay","length","channel","DAYPART","crea","screen","budgetbrut","budgetnet","grp","grpref","tav","tavtap","emav","emap","hour","month","dayofweek","nthweek","MMDAYPART","cumGrp","cumGrpRef","cumGrpTotal","cumGrpRefTotal"
"19/01/2014",5,"WE",30,"ParisPremiere","DAY","COEUR DES FEMMES 30'' v1",741,30,6,0,0,"EBL",1,"INTERIEURS","INTERIEURS",7,1,1,4,"DAY0309",0,0,0,0
"19/01/2014",4,"WE",30,"ParisPremiere","DAY","COEUR DES FEMMES 30'' v1",751,30,6,0,0,"EBL",0,"INTERIEURS","A L AFFICHE - LA SELECTION PARIS PR",7,1,1,4,"DAY0309",0,0,0,0
"19/01/2014",23,"WE",20,"SerieClub","DAY","version de base",951,130,26,0.06,0.02,"AC",1,"NEW YORK 911","NEW YORK 911",9,1,1,4,"DAY0309",0.06,0.02,0.06,0.02
"19/01/2014",0,"WE",20,"SerieClub","DAY","version de base",1011,138,27.6,0.06,0.03,"AC",1,"FAMILLE D'ACCUEIL","FAMILLE D'ACCUEIL",10,1,1,4,"DAY1011",0.12,0.05,0.12,0.05
"19/01/2014",-30,"WE",30,"SerieClub","DAY","version de base",1141,90,18,0.05,0.02,"AC",1,"FAMILLE D'ACCUEIL","FAMILLE D'ACCUEIL",10,1,1,4,"DAY1011",0.17,0.07,0.17,0.07
"19/01/2014",106,"WE",20,"Teva","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1131,461.7,92.34,0.22,0.08,"E",1,"GATEAU DE MES REVES (LE)","GATEAU DE MES REVES (LE)",11,1,1,4,"DAY1011",0.22,0.08,0.39,0.15
"19/01/2014",10,"WE",20,"SerieClub","DAY","version de base",1301,105,21,0.04,0.03,"AC",1,"FAMILLE D'ACCUEIL","FAMILLE D'ACCUEIL",12,1,1,4,"DAY1213",0.21,0.1,0.43,0.18
"19/01/2014",17,"WE",20,"SerieClub","DAY","version de base",1321,105,21,0.05,0.03,"AC",1,"FAMILLE D'ACCUEIL","STARGATE SG-1",12,1,1,4,"DAY1213",0.26,0.13,0.48,0.21
"19/01/2014",-437,"WE",20,"SerieClub","DAY","version de base",1451,113,22.6,0.04,0.03,"AC",1,"STARGATE SG-1","STARGATE SG-1",13,1,1,4,"DAY1213",0.3,0.16,0.52,0.24
"19/01/2014",41,"WE",20,"ParisPremiere","DAY","EFFET SCULPTANT LA FEMME 20'' v1",1411,534.6,106.92,0.27,0.12,"EAJ",1,"RAMSAY CAUCHEMAR EN CUISINE","RAMSAY CAUCHEMAR EN CUISINE",13,1,1,4,"DAY1213",0.49,0.2,0.79,0.36
"19/01/2014",25,"WE",20,"SerieClub","DAY","version de base",1531,138,27.6,0.03,0.04,"AC",1,"STARGATE SG-1","STARGATE SG-1",14,1,1,4,"DAY1415",0.33,0.2,0.82,0.4
"19/01/2014",81,"WE",20,"ParisPremiere","DAY","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1511,745.2,149.04,0.25,0.13,"EAJ",1,"RAMSAY CAUCHEMAR EN CUISINE","RAMSAY CAUCHEMAR EN CUISINE",14,1,1,4,"DAY1415",0.25,0.13,1.07,0.53
"19/01/2014",3373,"WE",30,"M6","DAY","COEUR DES FEMMES 30'' v1",1550,15000,2700,4.41,2.46,"EAL",1,"RECHERCHE APPARTEMENT OU MAISON","RECHERCHE APPARTEMENT OU MAISON",15,1,1,4,"DAY1415",4.41,2.46,5.48,2.99
"19/01/2014",-35,"WE",20,"SerieClub","DAY","version de base",1841,397,79.4,0.09,0.06,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",15,1,1,4,"DAY1415",0.42,0.26,5.57,3.05
"19/01/2014",2701,"WE",20,"M6","ACCESS","DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1",1810,13770,2478.6,4.14,2.59,"DDB",1,"66 MINUTES:REPORTAGE:ENCEINTES ET A","66 MINUTES:REPORTAGE:ENCEINTES ET A",17,1,1,4,"DAY1617",4.39,2.72,9.71,5.64
"19/01/2014",3912,"WE",30,"M6","ACCESS","COEUR DES FEMMES 30'' v1",1830,21000,3780,5.97,3.29,"DDB",1,"66 MINUTES:REPORTAGE:POLICIERS VOUS","66 MINUTES:REPORTAGE:POLICIERS VOUS",18,1,1,4,"ACCESS18",10.38,5.75,15.68,8.93
"19/01/2014",-84,"WE",30,"SerieClub","ACCESS","version de base",1951,660,132,0.13,0.1,"AC",1,"PREUVE A L'APPUI","PREUVE A L'APPUI",18,1,1,4,"ACCESS18",0.55,0.36,15.81,9.03
"19/01/2014",88,"WE",20,"ParisPremiere","ACCESS","EFFET SCULPTANT LA FEMME 20'' v1",1851,542.7,108.54,0.3,0.14,"EAJ",1,"RAMSAY CAUCHEMAR EN CUISINE","RAMSAY CAUCHEMAR EN CUISINE",19,1,1,4,"ACCESS19",0.79,0.34,16.11,9.17
"19/01/2014",2822,"WE",20,"M6","ACCESS","EFFET SCULPTANT LA FEMME 20'' v1",1930,17010,3061.8,5.86,3.85,"DDB",1,"66 MINUTES:REPORTAGE:AEROPORT DE RO","66 MINUTES:REPORTAGE:AEROPORT DE RO",19,1,1,4,"ACCESS19",6.65,4.19,21.97,13.02
"19/01/2014",158,"WE",30,"ParisPremiere","PEAK","COEUR DES FEMMES 30'' v1",2021,1040,208,0.24,0.14,"ACB",1,"KAAMELOTT:PERCEVAL DE SINOPE","KAAMELOTT:LES NOCTURNALES",20,1,1,4,"PEAK",10.62,5.89,22.21,13.16
"19/01/2014",48,"WE",30,"SerieClub","PEAK","version de base",2051,610,122,0.1,0.09,"AC",1,"PREUVE A L'APPUI","FINDER (THE)",20,1,1,4,"PEAK",0.65,0.45,22.31,13.25
