Date,Chaine,Ecran,Version,Diff,Heure,GRP,BudgetNet,Format,Avant-Visites,Apres-Visites,TAv,EmAv,TAp,EmAp,DAYPART,weekday_weekend
2014-01-19,ParisPremiere,741,COEUR DES FEMMES 30'' v1,07:13:08,7,0,6,30,14,9,EBL,INTERIEURS,EBL,INTERIEURS,NIGHT,WE
2014-01-19,ParisPremiere,751,COEUR DES FEMMES 30'' v1,07:25:16,7,0,6,30,8,16,EBL,INTERIEURS,EBP,A L AFFICHE - LA SELECTION PARIS PR,DAY,WE
2014-01-19,SerieClub,951,version de base,09:51:00,9,"0,06",26,20,20,43,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WE
2014-01-19,SerieClub,1011,version de base,10:11:52,10,"0,06","27,6",20,26,60,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WE
2014-01-19,SerieClub,1141,version de base,10:56:14,10,"0,05",18,30,62,54,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WE
2014-01-19,Teva,1131,EFFET SCULPTANT LA FEMME 20'' v1,11:16:43,11,"0,22","92,34",20,44,158,E,GATEAU DE MES REVES (LE),E,GATEAU DE MES REVES (LE),DAY,WE
2014-01-19,SerieClub,1301,version de base,12:18:43,12,"0,04",21,20,36,36,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WE
2014-01-19,SerieClub,1321,version de base,12:56:11,12,"0,05",21,20,30,44,AC,FAMILLE D'ACCUEIL,AC,STARGATE SG-1,DAY,WE
2014-01-19,SerieClub,1451,version de base,13:25:27,13,"0,04","22,6",20,404,155,AC,STARGATE SG-1,AC,STARGATE SG-1,DAY,WE
2014-01-19,ParisPremiere,1411,EFFET SCULPTANT LA FEMME 20'' v1,13:46:22,13,"0,27","106,92",20,70,114,EAJ,RAMSAY CAUCHEMAR EN CUISINE,EAJ,RAMSAY CAUCHEMAR EN CUISINE,DAY,WE
2014-01-19,SerieClub,1531,version de base,14:31:21,14,"0,03","27,6",20,64,68,AC,STARGATE SG-1,AC,STARGATE SG-1,DAY,WE
2014-01-19,ParisPremiere,1511,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,14:40:20,14,"0,25","149,04",20,70,121,EAJ,RAMSAY CAUCHEMAR EN CUISINE,EAJ,RAMSAY CAUCHEMAR EN CUISINE,DAY,WE
2014-01-19,M6,1550,COEUR DES FEMMES 30'' v1,15:43:02,15,"4,41",2700,30,1326,2863,EAL,RECHERCHE APPARTEMENT OU MAISON,EAL,RECHERCHE APPARTEMENT OU MAISON,DAY,WE
2014-01-19,SerieClub,1841,version de base,15:54:15,15,"0,09","79,4",20,158,123,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,DAY,WE
2014-01-19,M6,1810,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,17:50:01,17,"4,14","2478,6",20,2004,1916,DDB,66 MINUTES:REPORTAGE:ENCEINTES ET A,DDB,66 MINUTES:REPORTAGE:ENCEINTES ET A,DAY,WE
2014-01-19,M6,1830,COEUR DES FEMMES 30'' v1,18:21:25,18,"5,97",3780,30,266,4189,DDB,66 MINUTES:REPORTAGE:POLICIERS VOUS,DDB,66 MINUTES:REPORTAGE:POLICIERS VOUS,DAY,WE
2014-01-19,SerieClub,1951,version de base,18:40:51,18,"0,13",132,30,290,230,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,ACCESS,WE
2014-01-19,ParisPremiere,1851,EFFET SCULPTANT LA FEMME 20'' v1,19:03:25,19,"0,3","108,54",20,154,234,EAJ,RAMSAY CAUCHEMAR EN CUISINE,EAJ,RAMSAY CAUCHEMAR EN CUISINE,ACCESS,WE
2014-01-19,M6,1930,EFFET SCULPTANT LA FEMME 20'' v1,19:22:44,19,"5,86","3061,8",20,110,3112,DDB,66 MINUTES:REPORTAGE:AEROPORT DE RO,DDB,66 MINUTES:REPORTAGE:AEROPORT DE RO,ACCESS,WE
2014-01-19,ParisPremiere,2021,COEUR DES FEMMES 30'' v1,20:02:56,20,"0,24",208,30,136,336,ACB,KAAMELOTT:PERCEVAL DE SINOPE,ACB,KAAMELOTT:LES NOCTURNALES,ACCESS,WE
2014-01-19,SerieClub,2051,version de base,20:12:55,20,"0,1",122,30,150,167,AC,PREUVE A L'APPUI,AC,FINDER (THE),PEAK,WE
2014-01-19,Teva,2051,COEUR DES FEMMES 30'' v1,20:40:04,20,"0,31",170,30,354,442,EA,MAISON A VENDRE,AC,DROP DEAD DIVA,PEAK,WE
2014-01-19,SerieClub,2121,version de base,20:49:19,20,"0,05",98,30,132,144,AC,FINDER (THE),AC,FINDER (THE),PEAK,WE
2014-01-19,M6,2050,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,20:55:07,20,"3,65","3936,6",20,1362,1387,FBM,SPORT 6,EBJ,ZONE INTERDITE:ENFANTS HANDICAPES R,PEAK,WE
2014-01-19,SerieClub,1001,version de base,21:11:58,21,"0,06","27,6",20,356,188,AC,NEW YORK 911,AC,FAMILLE D'ACCUEIL,PEAK,WE
2014-01-19,Teva,2151,COEUR DES FEMMES 30'' v1,21:57:40,21,"0,38",242,30,100,935,AC,DROP DEAD DIVA,AC,DROP DEAD DIVA,PEAK,WE
2014-01-19,M6,2160,EFFET SCULPTANT LA FEMME 20'' v1,22:06:49,22,"5,12","4957,2",20,150,3542,DDB,ZONE INTERDITE:REPORTAGE:ENFANTS HA,DDB,ZONE INTERDITE:REPORTAGE:ENFANTS HA,PEAK,WE
2014-01-20,ParisPremiere,721,EFFET SCULPTANT LA FEMME 20'' v1,07:23:31,7,"0,01","4,86",20,16,29,EBL,TRES TRES BON,EBL,TRES TRES BON,NIGHT,WD
2014-01-20,Teva,721,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,07:50:05,7,"0,02","11,34",20,40,35,AA,"UN GARS, UNE FILLE (EPISODES)",IH,TEVA BOUTIQUE,DAY,WD
2014-01-20,ParisPremiere,751,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,07:58:32,7,"0,01","4,86",20,26,36,EBK,LA MODE LA MODE LA MODE,EBP,A L AFFICHE - LA SELECTION PARIS PR,DAY,WD
2014-01-20,SerieClub,851,version de base,09:12:07,9,"0,03","9,8",20,58,64,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-20,SerieClub,951,version de base,09:51:00,9,"0,04",26,20,78,72,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-20,SerieClub,1001,version de base,09:57:10,9,"0,05","27,6",20,64,74,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-20,M6,1015,COEUR DES FEMMES 30'' v1,10:29:35,10,"0,23",216,30,114,884,CBB,LES REINES DU SHOPPING,CBB,LES REINES DU SHOPPING,DAY,WD
2014-01-20,SerieClub,1041,version de base,10:39:39,10,"0,07","16,2",20,118,107,AC,NEW YORK 911,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-20,SerieClub,1011,version de base,11:01:24,11,"0,05","27,6",20,92,122,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-20,M6,1120,COEUR DES FEMMES 30'' v1,11:26:50,11,"0,55",468,30,82,1500,ACB,DROP DEAD DIVA:C EST DU GATEAU,ACB,DROP DEAD DIVA:C EST DU GATEAU,DAY,WD
2014-01-20,SerieClub,1211,version de base,12:02:09,12,"0,07","16,2",20,56,81,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-20,M6,1230,COEUR DES FEMMES 30'' v1,12:24:25,12,"1,23",1080,30,142,1751,ACB,DROP DEAD DIVA:PANIQUE AU PARADIS,ACB,DROP DEAD DIVA:PANIQUE AU PARADIS,DAY,WD
2014-01-20,SerieClub,1251,version de base,12:41:10,12,"0,1",24,30,112,136,AC,FAMILLE D'ACCUEIL,EB,"UN GARS, UNE FILLE",DAY,WD
2014-01-20,Teva,1301,EFFET SCULPTANT LA FEMME 20'' v1,13:03:16,13,"0,08","244,62",20,178,296,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-20,Teva,1321,COEUR DES FEMMES 30'' v1,13:37:34,13,"0,08",290,30,268,455,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-20,SerieClub,1401,version de base,13:50:44,13,"0,03","30,8",20,210,197,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,DAY,WD
2014-01-20,ParisPremiere,1411,EFFET SCULPTANT LA FEMME 20'' v1,14:12:20,14,"0,36","85,86",20,134,152,ACA,AMICALEMENT VOTRE:MINUIT MOINS HUIT,ACA,AMICALEMENT VOTRE:MINUIT MOINS HUIT,DAY,WD
2014-01-20,M6,1410,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,14:20:02,14,"6,05","1312,2",20,1310,1084,ABF,DU COURAGE ET DU COEUR,ABF,DU COURAGE ET DU COEUR,DAY,WD
2014-01-20,SerieClub,1451,version de base,14:31:58,14,"0,04","45,4",20,156,126,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,DAY,WD
