"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month"
2014-01-19,12,11,"ParisPremiere","7",0,6,30,0,2,1
2014-01-19,6,19,"ParisPremiere","7",0,6,30,0,2,1
2014-01-19,23,55,"SerieClub","9",0.06,26,20,0,2,1
2014-01-19,46,72,"SerieClub","10",0.06,27.6,20,0,2,1
2014-01-19,77,75,"SerieClub","10",0.05,18,30,0,2,1
2014-01-19,56,166,"Teva","11",0.22,92.34,20,0,2,1
2014-01-19,49,43,"SerieClub","12",0.04,21,20,0,2,1
2014-01-19,42,50,"SerieClub","12",0.05,21,20,0,2,1
2014-01-19,78,134,"ParisPremiere","13",0.27,106.92,20,0,2,1
2014-01-19,58,79,"SerieClub","14",0.03,27.6,20,0,2,1
2014-01-19,78,136,"ParisPremiere","14",0.25,149.04,20,0,2,1
2014-01-19,705,2879,"M6","15",4.41,2700,30,0,2,1
2014-01-19,197,151,"SerieClub","15",0.09,79.4,20,0,2,1
2014-01-19,1115,2025,"M6","17",4.14,2478.6,20,0,2,1
2014-01-19,246,4142,"M6","18",5.97,3780,30,0,2,1
2014-01-19,444,286,"SerieClub","18",0.13,132,30,0,2,1
2014-01-19,194,266,"ParisPremiere","19",0.3,108.54,20,0,2,1
2014-01-19,140,3084,"M6","19",5.86,3061.8,20,0,2,1
2014-01-19,192,372,"ParisPremiere","20",0.24,208,30,0,2,1
2014-01-19,170,215,"SerieClub","20",0.1,122,30,0,2,1
2014-01-19,273,484,"Teva","20",0.31,170,30,0,2,1
2014-01-19,171,183,"SerieClub","20",0.05,98,30,0,2,1
2014-01-19,783,1457,"M6","20",3.65,3936.6,20,0,2,1
2014-01-19,123,930,"Teva","21",0.38,242,30,0,2,1
2014-01-19,169,3489,"M6","22",5.12,4957.2,20,0,2,1
2014-01-20,28,30,"ParisPremiere","7",0.01,4.86,20,1,3,1
2014-01-20,45,43,"Teva","7",0.02,11.34,20,1,3,1
2014-01-20,35,42,"ParisPremiere","7",0.01,4.86,20,1,3,1
2014-01-20,83,79,"SerieClub","9",0.03,9.8,20,1,3,1
2014-01-20,100,112,"SerieClub","9",0.04,26,20,1,3,1
2014-01-20,94,90,"SerieClub","9",0.05,27.6,20,1,3,1
2014-01-20,122,881,"M6","10",0.23,216,30,1,3,1
2014-01-20,163,141,"SerieClub","10",0.07,16.2,20,1,3,1
2014-01-20,114,149,"SerieClub","11",0.05,27.6,20,1,3,1
2014-01-20,99,1502,"M6","11",0.55,468,30,1,3,1
2014-01-20,90,98,"SerieClub","12",0.07,16.2,20,1,3,1
2014-01-20,137,1733,"M6","12",1.23,1080,30,1,3,1
2014-01-20,176,170,"SerieClub","12",0.1,24,30,1,3,1
2014-01-20,180,333,"Teva","13",0.08,244.62,20,1,3,1
2014-01-20,405,486,"Teva","13",0.08,290,30,1,3,1
2014-01-20,220,234,"SerieClub","13",0.03,30.8,20,1,3,1
2014-01-20,167,181,"ParisPremiere","14",0.36,85.86,20,1,3,1
2014-01-20,755,1170,"M6","14",6.05,1312.2,20,1,3,1
2014-01-20,213,158,"SerieClub","14",0.04,45.4,20,1,3,1
2014-01-20,175,145,"SerieClub","15",0.15,51.8,20,1,3,1
2014-01-20,183,159,"SerieClub","15",0.15,51.8,20,1,3,1
2014-01-20,130,127,"SerieClub","16",0.11,58,30,1,3,1
